query1,query2,query3,query4,query5,query6,query7
21.78217822,35.05154639,38.46153846,25.88235294,27.43362832,27.67295597,72.97297297
32.67326733,38.1443299,33.33333333,27.05882353,17.69911504,16.35220126,70.27027027
26.73267327,24.74226804,32.05128205,24.70588235,19.46902655,19.49685535,62.16216216
30.69306931,27.83505155,30.76923077,27.05882353,22.12389381,19.49685535,70.27027027
44.55445545,53.60824742,53.84615385,51.76470588,39.82300885,39.62264151,89.18918919
26.73267327,23.71134021,34.61538462,25.88235294,16.81415929,16.35220126,59.45945946
25.74257426,27.83505155,34.61538462,29.41176471,22.12389381,21.3836478,62.16216216
8.910891089,5.154639175,11.53846154,9.411764706,6.194690265,6.918238994,24.32432432
20.79207921,14.43298969,28.20512821,25.88235294,11.50442478,10.06289308,54.05405405
34.65346535,32.98969072,37.17948718,34.11764706,26.54867257,30.18867925,83.78378378
26.73267327,20.6185567,26.92307692,23.52941176,23.00884956,18.23899371,62.16216216
30.69306931,41.2371134,30.76923077,25.88235294,16.81415929,17.61006289,64.86486486
27.72277228,32.98969072,33.33333333,25.88235294,20.3539823,18.23899371,64.86486486
22.77227723,17.5257732,32.05128205,22.35294118,19.46902655,22.01257862,59.45945946
23.76237624,21.64948454,25.64102564,22.35294118,14.15929204,13.20754717,59.45945946
22.77227723,18.55670103,29.48717949,23.52941176,19.46902655,21.3836478,56.75675676
25.74257426,18.55670103,30.76923077,28.23529412,22.12389381,19.49685535,64.86486486
27.72277228,28.86597938,33.33333333,23.52941176,13.27433628,15.09433962,59.45945946
30.69306931,26.80412371,34.61538462,29.41176471,24.77876106,27.67295597,72.97297297
23.76237624,21.64948454,33.33333333,21.17647059,13.27433628,14.46540881,54.05405405
24.75247525,25.77319588,34.61538462,23.52941176,16.81415929,20.75471698,67.56756757
20.79207921,15.46391753,24.35897436,16.47058824,9.734513274,5.660377358,45.94594595
35.64356436,30.92783505,34.61538462,25.88235294,17.69911504,16.35220126,64.86486486
19.8019802,21.64948454,30.76923077,24.70588235,19.46902655,15.09433962,67.56756757
26.73267327,34.02061856,44.87179487,37.64705882,32.74336283,34.59119497,83.78378378
23.76237624,24.74226804,30.76923077,22.35294118,23.00884956,20.12578616,64.86486486
21.78217822,21.64948454,24.35897436,16.47058824,11.50442478,10.6918239,43.24324324
14.85148515,11.34020619,17.94871795,17.64705882,6.194690265,5.660377358,32.43243243
16.83168317,12.37113402,21.79487179,17.64705882,11.50442478,10.06289308,43.24324324
30.69306931,32.98969072,34.61538462,22.35294118,20.3539823,19.49685535,64.86486486
19.8019802,16.49484536,32.05128205,24.70588235,15.92920354,15.72327044,54.05405405
23.76237624,18.55670103,28.20512821,23.52941176,19.46902655,22.64150943,54.05405405
39.6039604,27.83505155,39.74358974,30.58823529,25.66371681,35.22012579,72.97297297
27.72277228,18.55670103,28.20512821,24.70588235,16.81415929,13.83647799,62.16216216
32.67326733,31.95876289,44.87179487,35.29411765,29.20353982,35.22012579,83.78378378
38.61386139,37.11340206,33.33333333,25.88235294,17.69911504,11.94968553,59.45945946
30.69306931,23.71134021,33.33333333,28.23529412,24.77876106,22.64150943,75.67567568
35.64356436,45.36082474,48.71794872,41.17647059,32.74336283,33.96226415,89.18918919
27.72277228,26.80412371,30.76923077,27.05882353,17.69911504,18.86792453,59.45945946
9.900990099,7.216494845,16.66666667,12.94117647,4.424778761,3.773584906,29.72972973
24.75247525,26.80412371,35.8974359,29.41176471,23.00884956,27.67295597,72.97297297
5.940594059,9.278350515,7.692307692,8.235294118,5.309734513,1.886792453,16.21621622
31.68316832,38.1443299,46.15384615,36.47058824,33.62831858,41.50943396,89.18918919
19.8019802,13.40206186,24.35897436,18.82352941,14.15929204,11.94968553,48.64864865
24.75247525,20.6185567,20.51282051,18.82352941,12.38938053,9.433962264,43.24324324
25.74257426,26.80412371,28.20512821,22.35294118,22.12389381,27.67295597,51.35135135
25.74257426,24.74226804,35.8974359,32.94117647,25.66371681,26.41509434,72.97297297
31.68316832,21.64948454,33.33333333,24.70588235,22.12389381,26.41509434,64.86486486
4.95049505,5.154639175,6.41025641,3.529411765,3.539823009,4.402515723,8.108108108
19.8019802,20.6185567,32.05128205,18.82352941,18.5840708,15.72327044,54.05405405
21.78217822,21.64948454,23.07692308,22.35294118,16.81415929,10.6918239,48.64864865
15.84158416,11.34020619,17.94871795,18.82352941,7.079646018,9.433962264,43.24324324
1.98019802,5.154639175,6.41025641,5.882352941,1.769911504,3.773584906,10.81081081
35.64356436,40.20618557,34.61538462,25.88235294,22.12389381,23.89937107,70.27027027
18.81188119,21.64948454,29.48717949,24.70588235,17.69911504,11.94968553,45.94594595
20.79207921,30.92783505,29.48717949,28.23529412,23.00884956,20.12578616,64.86486486
43.56435644,45.36082474,48.71794872,48.23529412,30.08849558,35.22012579,83.78378378
18.81188119,28.86597938,21.79487179,20,17.69911504,12.57861635,51.35135135
21.78217822,18.55670103,28.20512821,23.52941176,22.12389381,21.3836478,56.75675676
22.77227723,28.86597938,34.61538462,29.41176471,26.54867257,25.78616352,70.27027027
